id,season,winner,win_by_runs
57,2017,Kolkata Knight Riders,0
58,2017,Mumbai Indians,0
59,2017,Mumbai Indians,1
80,2008,Royal Challengers Bangalore,0
81,2008,Kings XI Punjab,9
173,2009,Royal Challengers Bangalore,0
174,2009,Deccan Chargers,6
175,2010,Kolkata Knight Riders,11
176,2010,Mumbai Indians,4
